id,team_name,fifa_code,group_letter,fifa_rank
1,Mexico,MEX,A,15
2,South Africa,RSA,A,60
3,South Korea,KOR,A,25
4,Czechia,CZE,A,41
5,Canada,CAN,B,30
6,Bosnia & Herzegovina,BIH,B,65
7,Qatar,QAT,B,55
8,Switzerland,SUI,B,19
9,Brazil,BRA,C,6
10,Morocco,MAR,C,8
11,Haiti,HAI,C,83
12,Scotland,SCO,C,43
13,USA,USA,D,16
14,Paraguay,PAR,D,40
15,Australia,AUS,D,27
16,Türkiye,TUR,D,22
17,Germany,GER,E,10
18,Curaçao,CUR,E,82
19,Côte d'Ivoire,CIV,E,34
20,Ecuador,ECU,E,23
21,Netherlands,NED,F,7
22,Japan,JPN,F,18
23,Sweden,SWE,F,38
24,Tunisia,TUN,F,44
25,Belgium,BEL,G,9
26,Egypt,EGY,G,29
27,IR Iran,IRN,G,21
28,New Zealand,NZL,G,85
29,Spain,ESP,H,2
30,Cabo Verde,CPV,H,69
31,Saudi Arabia,KSA,H,61
32,Uruguay,URU,H,17
33,France,FRA,I,1
34,Senegal,SEN,I,14
35,Norway,NOR,I,31
36,Iraq,IRQ,I,57
37,Argentina,ARG,J,3
38,Algeria,ALG,J,28
39,Austria,AUT,J,24
40,Jordan,JOR,J,63
41,Portugal,POR,K,5
42,DR Congo,COD,K,46
43,Uzbekistan,UZB,K,50
44,Colombia,COL,K,13
45,England,ENG,L,4
46,Croatia,CRO,L,11
47,Ghana,GHA,L,74
48,Panama,PAN,L,33
